name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
울산 삼산로 DT,울산 남구 달동 1253-1,35.5380226,129.3323694,6개,"1,750만원","231,215명","36,912명","25,521명",340만원
울산 일산 DT,울산 동구 일산동 951-5,35.498218,129.428313,3개,"1,979만원","135,431명","9,533명","13,077명",338만원
울산호계SK DT점,울산 북구 신천동 452-1,35.6354397,129.3452839,3개,"1,785만원","62,362명","4,140명","14,125명",321만원
울산 굴화DT점,울산 울주군 범서읍 굴화리 28-8,35.556479,129.262596,3개,"2,071만원","128,247명","6,859명","16,579명",321만원
북수원DT점,경기 수원시 장안구 송죽동 451-1,37.3051514,127.002735,5개,"2,326만원","85,718명","14,805명","37,000명",329만원
수원정자DT,경기 수원시 장안구 정자동 76-18,37.290278,127.001636,0개,0만원,"66,558명","13,098명","41,694명",315만원
수원GS DT,경기 수원시 권선구 권선동 1029,37.2590888,127.0260263,2개,"20,199만원","200,562명","35,359명","30,193명",320만원
수원세류DT,경기 수원시 권선구 세류동 1155-8,37.2446881,127.0171584,0개,0만원,"116,119명","3,900명","11,390명",318만원
수원화성DT점,경기 수원시 팔달구 우만동 490-4,37.285572,127.028107,2개,"18,227만원","62,806명","10,435명","23,957명",318만원
수원인계DT,경기 수원시 팔달구 인계동 363-3,37.270672,127.034944,4개,"3,407만원","164,719명","25,598명","25,279명",421만원
동수원GS DT,경기 수원시 영통구 창룡대로 370,37.294811,127.048409,11개,"2,593만원","125,002명","19,396명","10,530명",339만원
수원 망포DT,경기 수원시 영통구 망포동 21-1,37.246121,127.054623,5개,"3,280만원","195,129명","25,125명","28,567명",406만원
성남신흥DT점,경기 성남시 수정구 신흥동 181,37.451099,127.148536,1개,0만원,"43,030명","5,117명","32,705명",320만원
서판교 DT,경기 성남시 분당구 운중동 1017,37.3906413,127.0840039,3개,"3,700만원","110,211명","7,190명","11,374명",420만원
의정부만가대 DT점,경기 의정부시 용현동 60-1,37.7309716,127.0865032,2개,"9,079만원","75,961명","6,198명","19,638명",372만원
의정부금오DT점,경기 의정부시 금오동 99-6,37.7555791,127.0785317,1개,0만원,"26,514명","7,459명","12,574명",338만원
의정부녹양DT점,경기 의정부시 가능동 106-1,37.7567324,127.0385792,4개,"2,532만원","104,476명","11,386명","28,899명",307만원
의정부GS DT점,경기 의정부시 호원동 435,37.7201469,127.0471417,4개,"3,047만원","41,150명","8,638명","23,305명",300만원
안양비산DT,경기 안양시 동안구 비산동 576-13,37.3933777,126.9418787,3개,"4,021만원","124,589명","21,479명","42,076명",331만원
광명소하DT점,경기 광명시 소하동 1340,37.4477011,126.8817756,1개,"3,713만원","92,161명","6,449명","8,769명",331만원
광명DT,경기 광명시 광명동 754-4,37.4685501,126.8478428,1개,"13,680만원","44,270명","8,471명","23,091명",306만원
평택GS DT,경기 평택시 용이동 470-5,36.9960302,127.1424225,6개,"3,096만원","180,035명","5,825명","19,734명",321만원
평택서정 DT점,경기 평택시 서정동 779-5,37.0696681,127.0639889,3개,"2,579만원","110,520명","10,243명","14,364명",323만원
평택 세교DT점,경기 평택시 경기대로 570,37.005327,127.084502,2개,"15,528만원","64,615명","5,870명","13,725명",327만원
동두천지행DT,경기 동두천시 지행동 340-1,37.892105,127.057318,6개,"1,934만원","76,258명","8,895명","24,631명",295만원
안산고잔 DT,경기 안산시 단원구 고잔동 705-5,37.3128766,126.8285911,4개,"3,297만원","155,513명","31,849명","17,699명",341만원
중산DT점,경기 고양시 일산동구 중산동 1667-5,37.6828342,126.7788292,4개,"2,816만원","94,994명","11,878명","31,055명",311만원
고양DT,경기 고양시 덕양구 벽제동 262-1,37.702824,126.903952,4개,"1,911만원","46,234명","3,682명","8,840명",312만원
