name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
속초금호DT,강원도 속초시 미시령로 3426 (금호동),38.2090544,128.5804872,14개,"1,097만원","23,554명","3,849명","13,013명",318만원
대전터미널DT,대전광역시 동구 동서대로 1658 (성남동),36.347995,127.434241,77개,913만원,"99,100명","14,436명","25,413명",306만원
대전용문DT,대전광역시 서구 도산로 336 (용문동),36.3350093,127.3897099,88개,894만원,"115,317명","18,219명","26,578명",299만원
대전수침교DT,대전광역시 서구 계룡로 692 (용문동),36.3349683,127.3967288,34개,800만원,"64,645명","10,457명","19,499명",302만원
대전목동DT,대전광역시 중구 동서대로 1387 (목동),36.33286682,127.4109608,58개,"1,034만원","49,653명","14,610명","28,621명",304만원
대전유천DT,대전광역시 중구 계백로 1604 (유천동),36.31833643,127.3982537,55개,918만원,"55,658명","12,214명","29,553명",297만원
대전대사DT,대전광역시 중구 계룡로 949 (대사동),36.318823,127.417463,50개,"1,148만원","52,818명","16,314명","15,878명",315만원
대전가수원DT,대전광역시 서구 계백로 1128 (가수원동),36.3037589,127.3487988,72개,"1,129만원","62,088명","8,734명","16,372명",319만원
대전신흥역DT,대전광역시 동구 옥천로 89 (판암동),36.3189576,127.4511473,8개,869만원,"27,344명","3,054명","14,427명",302만원
충남보령DT,충청남도 보령시 대해로 101 (궁촌동),36.34108936,126.5892326,12개,861만원,"15,622명","1,637명","1,732명",313만원
대전판암DT,대전광역시 동구 옥천로 118 (판암동),36.317013,127.453623,12개,887만원,"33,914명","5,461명","12,666명",303만원
계룡대로DT,충청남도 계룡시 엄사면 번영로 6,36.28846474,127.2444081,21개,846만원,"51,753명","6,224명","8,623명",316만원
충남부여DT,충청남도 부여군 부여읍 성왕로 317,36.28403924,126.9221799,8개,604만원,"9,750명","1,752명","5,168명",314만원
계룡대실DT,충청남도 계룡시 계룡대로 239 (금암동),36.26826502,127.2596001,14개,865만원,"30,932명","3,421명","7,350명",304만원
강릉IC DT,강원도 강릉시 경강로 1853 (홍제동),37.74674612,128.8723118,2개,"1,503만원","18,072명","1,948명","2,614명",311만원
강릉율곡DT,강원도 강릉시 율곡로 2996 (교동),37.7698839,128.8922189,13개,"1,139만원","34,732명","3,016명","9,198명",317만원
논산내동DT,충청남도 논산시 시민로 165 (내동),36.18212516,127.0997933,35개,621만원,"29,132명","5,488명","10,403명",293만원
강릉송정DT,강원도 강릉시 경강로 2400 (송정동),37.771851,128.922839,11개,"2,177만원","26,105명","3,919명","4,438명",319만원
상주무양DT,경상북도 상주시 영남제일로 1683 (무양동),36.42618534,128.1572021,28개,691만원,"39,711명","3,873명","9,817명",314만원
동해IC DT,강원도 동해시 동해대로 5453 (평릉동),37.52889584,129.1044122,20개,939만원,"29,795명","3,063명","9,065명",326만원
동해DT,강원도 동해시 중앙로 219 (천곡동),37.520193,129.114767,50개,939만원,"43,833명","11,879명","9,118명",341만원
익산영등DT,전라북도 익산시 무왕로 1005 (영등동),35.959316,126.968766,68개,785만원,"51,904명","10,432명","17,036명",315만원
군산조촌DT,전라북도 군산시 번영로 133 (조촌동),35.96695744,126.7346272,44개,"1,047만원","73,478명","9,914명","13,825명",331만원
군산나운DT,전라북도 군산시 하나운안2길 4 (나운동),35.962771,126.695586,39개,"1,024만원","50,361명","10,001명","24,424명",318만원
군산수송DT,전라북도 군산시 공단대로 243 (수송동),35.95883666,126.7146301,73개,993만원,"63,489명","8,848명","14,334명",317만원
안동강변DT,경상북도 안동시 육사로 327 (법흥동),36.56222049,128.7398468,20개,683만원,"27,980명","3,871명","4,662명",313만원
익산동산DT,전라북도 익산시 평동로 722 (동산동),35.928958,126.9583741,21개,868만원,"44,469명","6,004명","11,781명",300만원
김천부곡DT,경상북도 김천시 시민로 47 (부곡동),36.12816,128.1013,10개,776만원,"25,774명","3,700명","10,813명",319만원
김천시청DT,경상북도 김천시 시청로 47 (대신동),36.13260785,128.1176702,30개,797만원,"70,255명","5,081명","12,244명",326만원
전주에코DT,전라북도 전주시 덕진구 백석로 170 (전미동1가),35.88221906,127.1319004,8개,"1,329만원","72,579명","1,064명","9,898명",316만원
전주IC DT,전라북도 전주시 덕진구 기린대로 1022 (여의동),35.86801834,127.0744472,18개,835만원,"88,857명","5,446명","8,172명",344만원
전주송천DT,전라북도 전주시 덕진구 송천중앙로 228 (송천동2가),35.867469,127.121929,64개,"1,109만원","223,786명","9,380명","19,907명",314만원
전주호성DT,전라북도 전주시 덕진구 동부대로 860 (호성동1가),35.86362914,127.1507938,17개,"1,004만원","32,870명","3,509명","11,763명",319만원
구미문성DT,경상북도 구미시 고아읍 들성로 207,36.16082979,128.3430457,28개,897만원,"19,114명","1,721명","8,059명",302만원
전주덕진광장DT,전라북도 전주시 덕진구 기린대로 491 (덕진동1가),35.842878,127.124205,91개,929만원,"89,501명","15,469명","6,856명",327만원
전북대병원DT,전라북도 전주시 덕진구 백제대로 616 (금암동),35.84163023,127.137024,52개,875만원,"60,281명","17,794명","13,066명",338만원
구미도량DT,경상북도 구미시 야은로 312 (도량동),36.138474,128.316815,21개,"1,137만원","47,927명","4,654명","12,453명",297만원
전주만성DT,전라북도 전주시 덕진구 정여립로 972 (만성동),35.8366124,127.0778154,24개,"1,110만원","28,320명","3,777명","4,338명",356만원
전주아중DT,전라북도 전주시 덕진구 아중로 220 (우아동1가),35.82822966,127.1731612,44개,837만원,"34,192명","6,506명","14,248명",311만원
전주인후DT,전라북도 전주시 덕진구 아중로 135 (인후동1가),35.82574496,127.1644475,47개,743만원,"43,191명","8,109명","20,410명",313만원
구미금오산DT,경상북도 구미시 금오산로 205 (남통동),36.12245,128.323746,18개,"1,050만원","11,572명","1,268명","1,571명",313만원
전주백제대로DT,전라북도 전주시 완산구 백제대로 242 (중화산동2가),35.814654,127.123414,55개,886만원,"75,531명","13,561명","19,717명",311만원
구미시청DT,경상북도 구미시 송정대로 27 (송정동),36.1176314,128.3416068,49개,971만원,"122,399명","15,536명","17,255명",312만원
전주효자DT,전라북도 전주시 완산구 용머리로 7 (효자동1가),35.80555022,127.1111528,39개,847만원,"58,494명","8,771명","22,183명",302만원
전북김제DT,전라북도 김제시 콩쥐팥쥐로 11 (검산동),35.80616237,126.906437,14개,980만원,"14,897명","1,739명","4,936명",325만원
전주효천DT,전라북도 전주시 완산구 천잠로 149 (효자동2가),35.80078849,127.0993062,24개,"1,129만원","37,301명","4,472명","9,505명",307만원
구미광평DT,경상북도 구미시 구미대로 188 (광평동),36.10374,128.36359,9개,808만원,"41,368명","4,765명","6,253명",334만원
전주평화DT,전라북도 전주시 완산구 모악로 4696 (평화동2가),35.788482,127.131075,44개,831만원,"79,896명","8,357명","30,261명",292만원
구미상모DT,경상북도 구미시 금오대로 439 (상모동),36.0823172,128.3563847,16개,792만원,"26,579명","3,100명","11,712명",304만원
구미인의DT,경상북도 구미시 인동북길 149 (인의동),36.095564,128.431144,65개,848만원,"39,579명","10,980명","20,850명",352만원
대구칠곡읍내DT,칠곡중앙대로 631 칠곡중앙대로 631,35.9518399,128.5531285,17개,"1,192만원","24,456명","3,307명","9,840명",309만원
전북정읍DT,전라북도 정읍시 충정로 271 (수성동),35.57051067,126.8518671,71개,796만원,"70,272명","9,661명","7,453명",320만원
대구칠곡대로DT,대구광역시 북구 칠곡중앙대로 348 (태전동),35.92685124,128.5478845,73개,933만원,"93,746명","11,856명","24,345명",305만원
대구태전DT,대구광역시 북구 칠곡중앙대로 158 (태전동),35.90990274,128.5487293,23개,"1,530만원","64,588명","4,089명","13,526명",308만원
대구연경DT,대구광역시 동구 동화천로 391 (지묘동),35.94290686,128.630979,11개,"1,160만원","24,853명","1,084명","9,140명",309만원
대구팔공로DT,대구광역시 동구 팔공로 332 (봉무동),35.9284602,128.6418299,12개,"1,311만원","28,305명","2,044명","11,153명",315만원
대구성서IC DT,대구광역시 달서구 달구벌대로 1393,35.8507998,128.5202603,25개,980만원,"85,761명","9,255명","28,932명",309만원
대구침산DT,대구광역시 북구 침산로 126 (침산동),35.8874784,128.5918375,69개,"1,425만원","153,801명","13,415명","36,329명",323만원
대구평리DT,대구광역시 서구 서대구로 89 (평리1동),35.86594498,128.5553198,40개,721만원,"77,575명","15,273명","33,493명",297만원
대구복현DT,대구광역시 북구 대학로 150 (복현동),35.8967637,128.6146417,82개,951만원,"132,754명","12,624명","31,128명",323만원
대구칠성DT,대구광역시 북구 중앙대로 524 (칠성동2가),35.879674,128.596391,57개,"1,042만원","136,395명","16,834명","25,171명",321만원
대구두류DT,대구광역시 달서구 달구벌대로 1798 (두류동),35.858804,128.561685,62개,768만원,"100,172명","17,989명","20,912명",296만원
대구감삼DT,대구광역시 달서구 와룡로 131,35.8443842,128.5366553,69개,"1,351만원","150,978명","13,222명","39,970명",315만원
대구공평DT,대구광역시 중구 국채보상로 642 (동인동2가),35.86955911,128.6006787,303개,"1,366만원","202,643명","52,155명","11,050명",322만원
대구신천DT,대구광역시 동구 동부로 78 (신천동),35.87488214,128.6211104,62개,"1,180만원","142,362명","22,528명","30,043명",322만원
대구상인DT,대구광역시 달서구 월곡로 334 (상인동),35.82273539,128.5337302,82개,"1,043만원","142,715명","14,221명","32,312명",310만원
동대구로DT,대구광역시 동구 동대구로 422 (신천동),35.8680868,128.6271589,89개,"1,066만원","115,586명","31,227명","25,535명",328만원
대구수성도서관DT,대구광역시 수성구 화랑로 112 (만촌동),35.87274919,128.6390004,54개,873만원,"95,368명","13,074명","25,423명",327만원
대구수성네거리DT,대구광역시 수성구 들안로 342 (수성동4가),35.86058,128.617977,92개,"1,341만원","186,459명","22,302명","37,391명",345만원
대구영대병원역DT,대구광역시 남구 봉덕로 25 (봉덕동),35.845522,128.593536,78개,679만원,"59,354명","14,595명","20,461명",304만원
